step,track_id,innov_x,innov_y,S00,S01,S10,S11
56,1,0.72934448034437338,-2.9309309006562465,9.7611850339044874,0,0,9.7611850339044874
56,2,3.8180731495863682,2.5438853217889799,9.7560183659607613,0,0,9.7560183659607613
57,1,0.75574322955456807,2.6495630835125668,9.7433163132552689,0,0,9.7433163132552689
57,2,-0.1281901415311637,-0.61788450821071494,9.7402343379664007,0,0,9.7402343379664007
58,1,-1.9535195909971463,-0.16822991396372822,9.7267053427216013,0,0,9.7267053427216013
58,2,0.13147132272783324,-1.9132867368344737,9.7254227076014672,0,0,9.7254227076014672
59,1,0,0,0,0,0,0
59,2,-1.7050095702967525,-2.0442776147264521,9.7114983649616295,0,0,9.7114983649616295
60,1,0,0,0,0,0,0
60,2,-6.4051744303750411,1.1595360889593855,9.6983867250194642,0,0,9.6983867250194642
61,1,1.1898092307343688,0.95217112846693752,9.794192044136997,0,0,9.794192044136997
61,2,-0.32094559141647494,3.2056582334332528,9.6860221161909266,0,0,9.6860221161909266
62,1,-5.2749424366914042,-3.3233510332444962,9.7704392247611747,0,0,9.7704392247611747
62,2,-5.7856610114532714,-0.5814001973618117,9.6743464557901326,0,0,9.6743464557901326
63,1,2.8139127659720202,0.86005024165884425,9.7487721545084174,0,0,9.7487721545084174
63,2,-1.1538454557323732,2.5424834028630521,9.6633081544393278,0,0,9.6633081544393278
64,1,-2.3231046306158021,-1.5050431811524407,9.7289354918602609,0,0,9.7289354918602609
64,2,-2.3427375000349002,1.8001206854616802,9.6528612045096747,0,0,9.6528612045096747
65,1,0,0,0,0,0,0
65,2,0.017857710027904261,-5.2390726803024847,9.6429644174790088,0,0,9.6429644174790088
66,1,-5.641399253591814,0.79353299874324734,9.748705654746745,0,0,9.748705654746745
66,2,0.77151448634553077,-4.8898109379825554,9.6335807825560291,0,0,9.6335807825560291
67,1,4.6434049421139463,1.3217368022079969,9.7277996645033262,0,0,9.7277996645033262
67,2,-0.52573526590997233,-0.31015353571489679,9.6246769246444135,0,0,9.6246769246444135
68,1,0.63526443668669685,3.1026776791959936,9.7086848986561538,0,0,9.7086848986561538
68,2,0,0,0,0,0,0
69,1,0,0,0,0,0,0
69,2,2.2996608509438161,0.84630464405825556,9.649811222550035,0,0,9.649811222550035
