step,track_id,confirmed,x,y,vx,vy,misses,hits,maha2
45,3,1,-17.532914076981807,11.660891980488842,17.870945525334673,-5.0207587165700129,0,38,0.11284439846446281
45,4,0,-25.491275995735002,10.815565133707233,1.2993995012537771,22.036984725322981,1,2,0
46,1,1,-72.140633004714218,84.316616995997862,-11.924724222651125,7.1506810344683496,0,44,0.95021118893139167
46,2,1,81.900948539480709,87.662265837533084,-4.6152779512028239,-2.5791459050099488,0,41,0.099496682604710313
46,3,1,-16.612009183926705,11.257679274119013,17.888612093788819,-5.1190277296042765,0,39,0.18027698456857444
46,4,0,-25.426306020672314,11.917414369973383,1.2993995012537771,22.036984725322981,2,2,0
47,1,1,-72.673449766620749,84.770268844703935,-11.882694456876619,7.2143808701377603,0,45,0.17785274825673361
47,2,1,81.37639807345316,87.890179037355693,-4.8101108097166208,-2.3424771592703313,0,42,2.6337744875694584
47,3,1,-15.498270676945662,11.379861006736808,18.027557970901501,-4.8794557062096651,0,40,1.6057990710291337
47,4,0,-25.361336045609626,13.019263606239532,1.2993995012537771,22.036984725322981,3,2,0
48,1,1,-73.572729449327596,85.084651934625697,-12.081492329296928,7.1841936142400229,0,46,1.340969281720374
48,2,1,80.975389387101387,87.672169555530473,-4.9147674974274604,-2.4082600146408151,0,43,0.46837293706371508
48,3,1,-14.596892778400587,11.135888221426326,18.027557970901501,-4.8794557062096651,1,40,0
48,4,1,-20.51407806121906,8.5554097378012059,13.610698237011317,7.7088987834266742,0,3,2.5934654238239512
49,1,1,-74.374489278812703,85.652822084774598,-12.208185233549402,7.3181126279206623,0,47,1.2200412964560061
49,2,1,80.698862613340296,87.929725959408401,-4.9345205073554608,-2.1657649947313171,0,44,1.9758545262843095
49,3,1,-13.862870616402004,10.931966246567866,17.925308283574996,-4.8549857780769363,0,41,0.24440759552192629
49,4,1,-19.833543149368495,8.9408546769725401,13.610698237011317,7.7088987834266742,1,3,0
50,1,1,-75.066253396941164,86.229966334017618,-12.259509889532442,7.4513775596566179,0,48,0.78988991600785297
50,2,1,80.697321120966436,87.877365115776385,-4.7796391475175906,-2.1304360422729149,0,45,0.91369650872485297
50,3,1,-12.966605202223255,10.689216957664019,17.925308283574996,-4.8549857780769363,1,41,0
50,4,1,-18.304097872994749,8.6680001463656229,15.565936310414703,6.1926819473480412,0,4,0.18869019780162566
51,1,1,-75.679228891417793,86.602535212000447,-12.259509889532442,7.4513775596566179,1,48,0
51,2,1,80.440832864191606,88.115925250623476,-4.7905346267827191,-1.9156657471212006,0,46,1.8093887832528692
51,3,1,-12.070339788044505,10.446467668760173,17.925308283574996,-4.8549857780769363,2,41,0
51,4,1,-17.025137893114938,8.3982304623291881,16.678672492245767,4.904942809832046,0,5,0.23002881812223114
52,1,1,-76.513196903945683,86.721536952641813,-12.394697022692217,7.2962636460137462,0,49,1.617120311209387
52,2,1,80.342874176382708,88.141311781577642,-4.7036707918846723,-1.841317929422658,0,47,0.55084368838521369
52,3,1,-11.337172506419698,9.8875996322620807,17.830759872943606,-5.0382406362889762,0,42,0.92791247445424152
52,4,1,-16.191204268502648,8.6434776028207896,16.678672492245767,4.904942809832046,1,5,0
53,1,1,-77.305897062253308,86.895798233137725,-12.498932405362478,7.1814299216802375,0,50,0.99771986909745047
53,2,1,80.107690636788476,88.049245885106515,-4.7036707918846723,-1.841317929422658,1,47,0
53,3,1,-10.279358986102634,9.212254856168407,17.925567297068397,-5.2796746499361316,0,43,1.7173825572702235
53,4,1,-15.357270643890359,8.888724743312391,16.678672492245767,4.904942809832046,2,5,0
54,1,1,-77.677162194453217,87.55688522089396,-12.348215779269852,7.3608626279418097,0,51,2.4636036461489068
54,2,1,79.581670669300877,88.198393890130404,-4.8772064879450134,-1.6973909028167735,0,48,2.1081408318661592
54,3,1,-9.3830806212492153,8.948271123671601,17.925567297068397,-5.2796746499361316,1,43,0
54,4,1,-14.215098812268463,9.6741338600204703,17.279516846161947,5.9578728692122658,0,6,0.12806909173854747
55,1,1,-78.554186823427543,87.926633763143599,-12.50038349107065,7.3618622220586074,0,52,1.119307777886273
55,2,1,79.7849192820985,88.422859416196175,-4.6140308776350514,-1.5153112363582331,0,49,4.6007272536200725
55,3,1,-8.0069155290615175,8.5553984750429795,18.190809102535283,-5.3509138129973319,0,44,2.062053709569474
55,4,1,-13.351122969960366,9.9720275034810832,17.279516846161947,5.9578728692122658,1,6,0
56,1,1,-79.09524642531953,88.317118263417598,-12.451800721749237,7.3748188827513532,0,53,0.1311910824975201
56,2,1,79.721260992938923,88.160466898033945,-4.5169675557532614,-1.623754000872103,0,50,1.0263384713854247
56,3,1,-7.3746815309394833,8.1898455023879997,18.039750079528982,-5.4043019829920276,0,45,0.81002535861888658
56,4,1,-12.487147127652269,10.269921146941696,17.279516846161947,5.9578728692122658,2,6,0
57,1,1,-79.717836461406989,88.685859207555168,-12.451800721749237,7.3748188827513532,1,53,0
57,2,1,79.778087074736746,88.338376158997832,-4.3547131401941215,-1.4750330090885928,0,51,2.5221867834245879
57,3,1,-6.4726940269630342,7.919630403238398,18.039750079528982,-5.4043019829920276,1,45,0
57,4,1,-12.159761163894043,7.8460637088137251,16.38476894876764,1.4194327032080265,0,7,2.6590117815599488
58,1,1,-80.340426497494448,89.054600151692739,-12.451800721749237,7.3748188827513532,2,53,0
58,2,1,79.290381575840712,87.922849998056307,-4.5078880978495652,-1.6689483583208837,0,52,3.4036592268193866
58,3,1,-5.3632577152478351,7.6836725862423858,18.149717543461964,-5.3861423874719074,0,46,0.41506156767509506
58,4,1,-11.340522716455661,7.9170353439741268,16.38476894876764,1.4194327032080265,1,7,0
59,1,1,-80.878336513288218,89.102308701969378,-12.404642759919447,7.1960372371717609,0,54,1.6100301872469769
59,2,1,78.90310411599954,88.241079480057692,-4.5987339209180096,-1.4435345953291514,0,53,3.5124335286736108
59,3,1,-4.4557718380747371,7.4143654668687908,18.149717543461964,-5.3861423874719074,1,46,0
59,4,1,-10.521284269017279,7.9880069791345285,16.38476894876764,1.4194327032080265,2,7,0
60,1,1,-81.490523101377292,89.335913200999684,-12.400217765817137,7.1266296028018852,0,55,0.24826252090980921
60,2,1,78.466971578419361,88.755653240833738,-4.7132517959541023,-1.1176627501293015,0,54,7.5454882052659196
60,3,1,-3.817352672934708,6.9611109744733346,18.010708047661115,-5.4811761855380059,0,47,1.0051016014850398
60,4,1,-9.7020458215788974,8.0589786142949293,16.38476894876764,1.4194327032080265,3,7,0
61,1,1,-82.177887802382315,90.002643799384174,-12.436831863584576,7.2953651680854472,0,56,1.6588107455973196
61,2,1,77.981243343512944,89.052094381025213,-4.8507783976969714,-0.92389778652446874,0,55,3.7859276125640973
61,3,1,-3.0616899386941014,6.7025242771912801,17.936747986760242,-5.4732773985543997,0,48,0.2237921242738653
61,4,1,-8.8828073741405156,8.1299502494553302,16.38476894876764,1.4194327032080265,4,7,0
62,1,1,-82.282733644872749,90.251931104460027,-12.15883878099142,7.2332700615902938,0,57,4.8703726410793973
62,2,1,77.483138217369586,89.131522150508673,-4.9900350861899287,-0.85544665708279555,0,56,1.7070134123537968
62,3,1,-2.1648525393560893,6.42886040726356,17.936747986760242,-5.4732773985543997,1,48,0
62,4,1,-6.740566585091095,7.3785704255582587,18.097678195586489,0.35472300916528665,0,8,0.63465275357469286
63,1,1,-83.011731456449638,90.292250699899526,-12.223272249221603,7.0622308378697598,0,58,2.1535457871177028
63,2,1,77.296354630486547,88.760661516117949,-4.9561570591424022,-1.0326677847005414,0,57,2.4334585577369481
63,3,1,-1.2680151400180772,6.1551965373358399,17.936747986760242,-5.4732773985543997,2,48,0
63,4,1,-5.5299246953651879,7.5972860999226315,18.477177857836359,0.60417409938648869,0,9,0.079269069484276797
64,1,1,-83.830763023127872,90.670967032529248,-12.33286864754086,7.0757307198259705,0,59,0.84063469436664773
64,2,1,76.827362065221308,88.497323427983389,-5.0746563953467536,-1.1460882197258653,0,58,2.1150553886402275
64,3,1,-0.37117774068006515,5.8815326674081199,17.936747986760242,-5.4732773985543997,3,48,0
64,4,1,-4.8160951967516628,6.2348974005991531,18.225356524887701,-1.0655242579072128,0,10,1.9724493215508241
65,1,1,-84.489795324582232,90.659795032834865,-12.355021789915764,6.8849971952482214,0,60,2.7075762914307724
65,2,1,76.574370316259277,88.402089317219747,-5.0742624168141477,-1.1662529426559094,0,59,0.033543446412321376
65,3,1,0.52565965865794695,5.6078687974803998,17.936747986760242,-5.4732773985543997,4,48,0
65,4,1,-3.8115191708432019,6.6476276371182035,18.334022903713432,-0.52281489742647047,0,11,0.32610645969913105
66,1,1,-85.107546414078016,91.004044892597278,-12.355021789915764,6.8849971952482214,1,60,0
66,2,1,76.32794185011673,88.493826615657582,-5.0704175430432077,-1.0870559012091352,0,60,0.54257994448272862
66,3,1,1.422497057995959,5.3342049275526797,17.936747986760242,-5.4732773985543997,5,48,0
66,4,1,-2.8948180256575302,6.6214868922468799,18.334022903713432,-0.52281489742647047,1,11,0
66,5,0,-92.839953573473821,85.015248750174166,0,0,0,1,0
67,1,1,-85.806011479962734,91.077266155654556,-12.396494495077716,6.7457364428421238,0,61,1.516095188940088
67,2,1,76.077226105859381,88.089642557511382,-5.0689469671338738,-1.2704530688722839,0,61,3.0312737884779803
67,3,1,2.3193344573339711,5.0605410576249596,17.936747986760242,-5.4732773985543997,6,48,0
67,4,1,-2.6369956367045004,4.9506467851477689,17.607505990656986,-2.3363532643088472,0,12,4.9459477115918773
67,5,0,-92.839953573473821,85.015248750174166,0,0,1,1,0
68,1,1,-86.621945945069271,91.695455519613844,-12.49644727722008,6.8889062339753915,0,62,2.3364654245148113
68,2,1,75.530987778319783,88.23758072287194,-5.221473631384244,-1.1602945749123179,0,62,3.3239957797513258
68,3,1,3.0173290170372025,5.1053684156667591,17.843262088981319,-5.323538849074172,0,49,0.9426021757134988
68,4,1,-1.7566203371716511,4.8338291219323262,17.607505990656986,-2.3363532643088472,1,12,0
68,5,0,-92.839953573473821,85.015248750174166,0,0,2,1,0
69,1,1,-87.130362556582412,91.881422224558236,-12.437556875581805,6.8087309108955694,0,63,0.8060760618507069
69,2,1,75.007682855380565,88.076217105015871,-5.3572775965107713,-1.2138167596043334,0,63,2.0804401321665931
69,3,1,4.2510510028851876,5.0550121084884125,18.002073511910147,-5.2231907566893252,0,50,1.2739168014860978
69,4,1,-0.87624503763880179,4.7170114587168834,17.607505990656986,-2.3363532643088472,2,12,0
