step,track_id,confirmed,x,y,vx,vy,misses,maha2,hits_window
6,6,0,-285.40314866048658,-314.49711960278506,0,0,2,0,0
6,7,0,167.09513686456779,318.9688508454301,0,0,1,0,1
6,8,0,-363.56630994420726,-89.014045154989134,0,0,0,0,2
7,1,1,-47.279628273331952,72.780867672758063,-8.6502658399490855,14.047843573248629,0,2.2517515911564527,4
7,2,1,91.062379458573091,90.604926595402873,-7.1002537057286386,-10.684145710132547,0,1.9160572232365309,5
7,3,1,-50.218050267983116,25.700962725979512,26.498767687063854,14.927892961725068,0,6.7890126277728244,5
7,4,0,-111.10268471041023,317.61560082494248,0,0,5,0,0
7,5,0,281.13532119044771,-333.80711329193787,51.892325622405423,-21.37450070277756,0,2.9528031531404806,1
7,6,0,-285.40314866048658,-314.49711960278506,0,0,3,0,0
7,7,0,167.09513686456779,318.9688508454301,0,0,2,0,0
7,8,0,-363.56630994420726,-89.014045154989134,0,0,1,0,1
7,9,0,42.25651628744744,-209.78116899588929,0,0,0,0,2
8,1,1,-47.712141565329404,73.483259851420499,-8.6502658399490855,14.047843573248629,1,0,4
8,2,1,91.085123514244813,90.320880918177807,-5.6130751286267557,-9.699292379107824,0,0.084492000839334655,5
8,3,1,-51.300795447657286,24.873151105543723,15.654281901270357,7.8374855020593079,0,2.6531690220360531,5
8,4,0,-111.10268471041023,317.61560082494248,0,0,6,0,0
8,5,0,283.72993747156801,-334.87583832707674,51.892325622405423,-21.37450070277756,1,0,1
8,6,0,-285.40314866048658,-314.49711960278506,0,0,4,0,0
8,7,0,167.09513686456779,318.9688508454301,0,0,3,0,0
8,8,0,-363.56630994420726,-89.014045154989134,0,0,2,0,0
8,9,0,42.25651628744744,-209.78116899588929,0,0,1,0,1
9,1,1,-49.319553989082685,72.616882495101137,-12.949440402096574,8.3074239096588691,0,0.82193126899015012,4
9,2,1,89.430508868885568,89.570374620910954,-10.409713702707016,-10.626325650199462,0,1.0144020173945365,5
9,3,1,-52.062661359907231,21.875866984875092,9.5734736761937906,-5.5051850954585033,0,5.7096537355568042,5
9,4,0,-125.6248392574999,356.48970761801502,-39.670454418832172,106.19316001677285,0,8.76916316320645,1
9,5,0,286.3245537526883,-335.9445633622156,51.892325622405423,-21.37450070277756,2,0,1
9,6,0,-285.40314866048658,-314.49711960278506,0,0,5,0,0
9,7,0,167.09513686456779,318.9688508454301,0,0,4,0,0
9,8,0,-363.56630994420726,-89.014045154989134,0,0,3,0,0
9,9,0,42.25651628744744,-209.78116899588929,0,0,2,0,0
9,10,0,-53.961762048277784,197.86651102048961,0,0,0,0,2
10,1,1,-49.988159930704981,71.861268335230037,-13.018959724235094,4.4555070720254957,0,0.50917025454976128,4
10,2,1,88.941159853581723,91.34825508591382,-10.312149301217023,-3.3906321796760768,0,3.4098131540482051,5
10,3,1,-49.813984671122583,21.497635365263744,15.752735952375168,-5.864672196749753,0,1.6283603012729695,5
10,4,0,-127.60836197844151,361.79936561885364,-39.670454418832172,106.19316001677285,1,0,1
10,5,0,288.9191700338086,-337.01328839735447,51.892325622405423,-21.37450070277756,3,0,1
10,6,0,-285.40314866048658,-314.49711960278506,0,0,6,0,0
10,7,0,167.09513686456779,318.9688508454301,0,0,5,0,0
10,8,0,-363.56630994420726,-89.014045154989134,0,0,4,0,0
10,9,0,42.25651628744744,-209.78116899588929,0,0,3,0,0
10,10,0,-53.961762048277784,197.86651102048961,0,0,1,0,1
10,11,0,-11.190834530666205,-385.29840203472139,0,0,0,0,2
10,12,0,270.65691886160323,351.79698103649787,0,0,0,0,2
11,1,1,-50.043342720641604,70.838427802144125,-11.230873844152224,0.71700708424895598,0,1.0175898835450816,4
11,2,1,88.42555238852087,91.178723476930017,-10.312149301217023,-3.3906321796760768,1,0,4
11,3,1,-47.623812203937369,20.962108939857675,20.147475464020726,-6.6238784209281762,0,1.2951763881748501,5
11,4,0,-129.59188469938312,367.10902361969227,-39.670454418832172,106.19316001677285,2,0,1
11,5,0,291.51378631492889,-338.08201343249334,51.892325622405423,-21.37450070277756,4,0,1
